Review,POSITIVE
I always pay with Amex in BP but the app doesnâ€™t cater for it. Shame as itâ€™s such a great idea and I would use it otherwise,NEGATIVE
"Can't add Amex as a payment method. Why release an app that does not accept all current methods of payment that can be accepted at the till? I work within technology and look after Business As Usual - BAU. I would not have accepted this app into BAU for the following reasons: 1) Scanning card function is slow and takes a few tries to work. 2) App does not accept all payment methods currently accepted at the till. 3) Very scary reviews about money being taken out of account in a different way than paying at the till. There should be no detriment to any customer for using this new app. Folks, it's not rocket science to get this right. You should not have rushed to market until you were ready. Learn to push back and say not yet until you are ready.",NEGATIVE
"""Used this for the first time today and got apprehended by the boys in blue who saw me fill up me beemer then race off without paying!!",NEGATIVE
Had a right old time explaining to them 'I paid by App' 'yeah right - pull the other' he said and frog marched me to the til only for the nice lady to explain it to him!,NEGATIVE
" Great App, works perfectly- just watch out for the cops!""",POSITIVE
Can't get it set up as it doesn't accept my Amex. Waste of time.,NEGATIVE
"The app is brilliant and saves time but when you set a fixed amount the pump stops short by exactly 50p, it has done it both times Iâ€™ve used it.",POSITIVE
Doesn't take the leading fuel card sadly. No use to me then. What a shame.,NEGATIVE
Love this idea. The only fault I have at this stage is that this facility has not been rolled out to all stations. When it does it will get 5 stars.,POSITIVE
No use until Amex is accepted!,NEGATIVE
"Filled up at my local BP garage using this app for the first time. Put Â£44 into my car and finished all fine, Checked my internet banking and there was a Â£100 pending charge on my account from BP! Two days later BP have took the Â£44 out of my account that I filled up but I still have a Â£100 pending transaction from them, Iâ€™ve had to contact the bank to get them to look into it!!",NEGATIVE
"""Being a tech savvy person I can guarantee that at the moment in the UK this is the best app and payment method with minimum complexity . Iâ€™ve got Shell app and itâ€™s super complicated. Only thing I found was the price of fuel is slighter higher and also if I were to fill from Shell I normally fill at 40 where as BP was at 48 but that been said itâ€™s not an accurate measure.",POSITIVE
"Overall 5 star to BP. Good work. Near App""",POSITIVE
"Good idea and works really well, just donâ€™t choose the full tank option. BP will allocate Â£100 from your account for up to two weeks. Had a direct debit cancelled as my money was tied up.",NEGATIVE
Pathetic app. Always asks me to login then just sits there. Eventually I just decided to pay in the shop. Tried on two BP visits. Deleted. BP petrol prices are a rip off anyway.,NEGATIVE
"""Update: American Express now works fine",POSITIVE
,POSITIVE
"Canâ€™t use AMEX but yet can use it in store""",NEGATIVE
Doesnâ€™t recognise any of my cards. Useless.,NEGATIVE
"Amazing app, one of the best integrations Iâ€™ve seen, will be 5 stars the second Apple Pay is supported",POSITIVE
Have to log on and enter security question every time on iPhone X,NEGATIVE
"""Instead of asking you to pay for the service, they track you and sell your info to pay for it.",NEGATIVE
,POSITIVE
"Same as tesco clubcards, nectar rewards and every other data mining scheme.""",NEGATIVE
"Have registered with BP Me, verified my email address and password, but when I try to access the app with my user credentials, it keeps throwing me back to the login/register screen.",NEGATIVE
"""Good app, will be using regularly. The BP Plus Routex card type needs to be added as a payment option though - Iâ€™d have thought this wouldâ€™ve been a day one option? Hopefully thisâ€™ll be added soon!",POSITIVE
,POSITIVE
"Good app otherwise!""",POSITIVE
"I was filling my car yesterday and the meter continued to register fuel and an increasing charge even after fuel stopped flowing. I was certain the fuel had stopped flowing so I carefully removed the nozzle to confirm. Sure enough, no fuel flowing and the meter was still counting!",NEGATIVE
"Think the developer needs to sort out payment methods, tried adding my company MasterCard and it just said error check number, tried manual entry and photo no joy.",NEGATIVE
"Downloaded, set up account, wouldnâ€™t add payment card(s) and then immediately suspended my new account. Shame, it would have been really useful.",NEGATIVE
Seems like it could be a good app if it could locate any petrol stations. Always says Iâ€™m not near one even though I live just round the corner from one.,NEGATIVE
"""Absolutely hopeless. â€œFreezesâ€� Â£100 from your bank account when you select â€œfull tankâ€� regardless of how much you spend.",NEGATIVE
Select any other amount and the pump delivers 50p less! ,NEGATIVE
"I fill up my vehicle every night, and canâ€™t afford to have Â£100 â€œfrozenâ€� from my bank account. In theory, after 1 week I could have Â£700 â€œpending transactionsâ€� in my bank account despite only spending Â£150-Â£200.",NEGATIVE
"Also, to print-off the receipt involves printing 2 A4 pages. Waste of paper & ink, so much for your care for the environment.""",NEGATIVE
"I was recommended this app by a friend and I was a bit doubtful as I thought it would be similar to a pay at pump experience. However, it was much easier than that. No need to get your card out, enter your pin code, wait in the cold for the card to be authorised, etc. Just enter the pump number from the comfort of the car, get out to fill up (yes the app doesnâ€™t do that unfortunately) and thatâ€™s it.",POSITIVE
I had the app for a day or two. My account got suspended over a week ago and nobody seems to no why and is able to resolve it.,NEGATIVE
"""Failed on my first attempt to use it. Got the app setup, went to the petrol station and picked pump and amounts and pressed the option to continue. The app got stuck on â€œunlocking pumpâ€�, waited for over a minute and nothing happened. I interrupted the process by closing the app. I filled up with Diesel and went in to pay as normal. Iâ€™m glad I mentioned to the staff about the failure to use the app as my card was charged with the amount and they did something to refund me. So no easy way to fill up using an app... not a good experience and have no confidence in this app/system. ",NEGATIVE
"Bye bye â€œBP Meâ€� short life.""",NEGATIVE
Downloaded this app and registered but canâ€™t register my card. Now I am getting a massage that my account is suspended,NEGATIVE
"""Be very wary of this app. I was charged for someone elseâ€™s fuel as well as my own. Luckily I looked at her transactions before I left the station and queried this. Not sure what would have happened if I had not! ",NEGATIVE
,POSITIVE
"The support for this app were less than helpful, didnâ€™t respond in the 5 days they said they would and had to chase only to be told they hadnâ€™t looked at why it happened. Very poor! Be wary and if you do use make sure you check the transactions history.""",NEGATIVE
"Surely you should be able to register your car, then the cameras can pick up the number plat at a pump. The phone would be there too, so the app should just pop up and say â€œdo you want to use BP me at pump 3?â€�",NEGATIVE
Very annoyingly this app. logs you out after 30 days if you havenâ€™t used it . So you end up sitting at the pump trying to remember your password. If you use a strong passwords that isnâ€™t always easy. This is despite having faceID enabled. Complete nuisance- not even my bank/financial apps do this. Complete overkill. Itâ€™s supposed to make paying more convenient not less.,NEGATIVE
"""As has been noted by previous reviews, each time I fill up a Â£100 pre-authorisation is taken from my card. My car takes 50-60 litres and the final cost is unlikely to be anywhere near Â£100. ",NEGATIVE
,POSITIVE
Itâ€™s even worse on my daughterâ€™s car which takes 30 litres and which I fill up for her occasionally. ,NEGATIVE
,POSITIVE
"Otherwise the app is great but tempted to bin it given the above.""",NEGATIVE
"""I have used this app a few times and find it very useful, especially in the cold whether I can just fill up and go. ",POSITIVE
,POSITIVE
"Only down fall is it always fuels 50p less than I requested. For example if I want to put Â£20 in my tank I should be allowed to fuel Â£20 nothing more or less but it only lets me pump Â£19.50 why? That 50p makes a huge difference !!!""",NEGATIVE
After verifying the account it canâ€™t log you in and keeps loading the login page. Utterly pointless.,NEGATIVE
"""Enough said in the title.",NEGATIVE
"Will check back later in year for an update following the comment from the developers. thanks!""",POSITIVE
"""Sheâ€™ll can do it, so can you. ",POSITIVE
,POSITIVE
"Get a grip""",NEGATIVE
Didnâ€™t work with fuel card :(,NEGATIVE
Really poor on iPhone 6+. The splash screen stays on for far too long telling me itâ€™s BP - I know itâ€™s BP - and it constantly asks for a password. Too slow to be of any real use. The Shell app is far better and it will be the Shell fuel I will use.,NEGATIVE
"I used this almost a month ago. I wanted to fill up so the app took a Â£100 hold, then the next day charged me Â£41 for my fuel. Almost a month later and Iâ€™ve still not got my Â£100 back. The app says it can take up to 10 days... not the case...",NEGATIVE
"""Used this app for the first time today. Requested Â£30 of petrol and the pump cut out off at Â£29.10!! Nothing mentioned about a 90p tax just got using the app! Convenient yes, honest no! Your fuel is expensive enough without BP dipping their oily hand in my pocket while Iâ€™m not looking ðŸ˜¡",NEGATIVE
,POSITIVE
"***edit*** because I canâ€™t reply to your comment â€œrest assured you will always only be charged for the amount of fuel you receiveâ€�...... let me make this abundantly clear. Â£30 was deducted from my bank account and the pump stopped at Â£29.10!!! So.... you lie""",NEGATIVE
"""Saw this app advertised at my local BP and thought it was a great idea.",POSITIVE
,POSITIVE
"After going through the rigmarole of setting up an account, verifying my email, adding a payment card, adding my nectar card I was all set.",POSITIVE
,POSITIVE
Turns out the app doesnâ€™t remember you or use touch/faceid. I was sat in my car looking at the log in screen. ,NEGATIVE
,POSITIVE
"As I value my security I take advantage of my phoneâ€™s ability to create long unbreakable passwords, and they are all different from each other. A consequence of this is I donâ€™t, from memory, know all my passwords.",POSITIVE
,POSITIVE
"The app hasnâ€™t been written to integrate into apples keychain (some do) so I would have had to exit the app, go into settings copy the password and go back into the app to log in. Every single time!",NEGATIVE
,POSITIVE
"Ridiculous oversight- who does your UX sign off!?""",NEGATIVE
When will fuel cards be available as a payment method???,NEGATIVE
"One Star BP. I was excited by this app and all it promised until I discovered it does not work without WiFi or a data contract. This app needs to function over GPS or BP needs to install free WiFi at their filling stations. Yes, some people have work phones where data is not included. Why can we not use your app?",NEGATIVE
"""Unable to login and I see the payments donâ€™t include Allstar fuel cards. ",NEGATIVE
"Would be better to develop a fully functional app before release.""",NEGATIVE
"I have read a previous review, which you answered saying you now take Amex. This doesnâ€™t seem to be the case. App sounds like a great idea but I wonâ€™t use it until my Amex works unfortunately. Let me know when you get that fixed.",NEGATIVE
"""Doesnâ€™t work. Said there was a problem with my card. Called my bank. Card was fine and my details were correct. Unable to leave feedback on the app. So so bad. What an embarrassment. Developers and drawing boards spring to mind. Deleted app.",NEGATIVE
,POSITIVE
RESPONSE TO DEVELOPER REPLY:,NEGATIVE
"The card was added fine. There was no problem there. It was when I then tried to use the app that it kept saying there was an issue with the card even though it had been successfully added and verified. I donâ€™t have time to email to find out why your app isnâ€™t working, and get involved in all this rigmarole. I will use a different petrol station.""",NEGATIVE
"Worked great twice , then keeps saying password is wrong , reset password twice still says wrong password, good app if it worked, now deleted , 2 stars one for each time it worked",NEGATIVE
"downloaded & registered the app last week and linked my master card without any problem. But when I tried to buy the fuel through app in the nearby BP petrol station, it declined the transaction stating that my bank has declined it. When I called my bank they repeatedly confirmed that the transaction request never reached them.",NEGATIVE
"""At first was excited for its convenience, pump stops automatically when it reaches amount assigned. ",NEGATIVE
I selected Â£25.00 on app and fuel pumped stopped at Â£24.50 so my account was only charged Â£24.50.,POSITIVE
"BUT couple days later I noticed on my online banking that thereâ€™s a pending amount Â£25.00, why ? This streamline process isnâ€™t right considering payments were taken immediately from my bank account. For some who pump fuel over Â£100 weekly thatâ€™s a large amount pending overall. Will NOT continue to use app unless they remove streamline process. ",NEGATIVE
BPme FAQs ðŸ‘‡ðŸ�». ,POSITIVE
Why is there a pending amount for BP in my bank statement? ,NEGATIVE
"To streamline the process of paying for fuel, BPme completes a check with your bank to confirm that you have the available funds before authorising the pump. The amount you choose to fill up by (or Â£100 if you choose to fill your tank) will be reserved from your balance. But don't worry, you will only be charged for the total amount of fuel dispensed.           ",POSITIVE
"The pre-authorised funds will be released by your bank within a few days when the final amount is processed although in certain circumstances this can take up to 10 days.""",NEGATIVE
"""Canâ€™t add Amex. Wonâ€™t use the app unless it will. (Website says it does). ",NEGATIVE
,POSITIVE
Canâ€™t even submit feedback through the app. ,NEGATIVE
,POSITIVE
â€œThere was a problem submitting feedback/adding your cardâ€�. ,NEGATIVE
,POSITIVE
"Waste of time.""",NEGATIVE
"Cannot get past setting my password for a new account. Keeps saying,â€�Cannot contain or equal usernameâ€�, password is nothing like the username so gave up and deleted app.",NEGATIVE
Canâ€™t register tried 8 times!!!,NEGATIVE
Attempted to add an Amex card. Got charged Â£1 x3 whilst unsuccessfully trying to add it. Donâ€™t think I will be using this app any time soon,NEGATIVE
"Used card for first time today. Easy to use, only problem is that I canâ€™t input my nectar card details as app keeps saying that there is a technical problem. Can you help?",POSITIVE
"Despite typing the right credentials the app gets stuck in â€œLogging you inâ€� and after a while send me back to the main login page without an error message. If the credentials are wrong, it does let me know and canâ€™t move forward. But if theyâ€™re right it just sends you back to the main screen",NEGATIVE
The app seems like a good idea but as per other reviews I cannot add my Amex card. As such the app is useless to me. Would appreciate this being looked into.,NEGATIVE
Seriously who wrote this app !,NEGATIVE
You can not add your bp plus fuel card to this app. When will it be added????,NEGATIVE
"Do not use this app, if you say you want a full tank they take Â£100 and it takes days for what you didnâ€™t use to be put back into your account, unlike Tescoâ€™s that take Â£1 by pay at pump and take the rest 2-3 days later,  compensation would be nice but youâ€™ll have more luck getting blood out of stone",NEGATIVE
Was alway told you would go up in a fireball if you used your phone next to a petrol pump......take it was all fake news !!,NEGATIVE
"""This app is completely useless and I will not using BP again after all this Shell app is brilliant works every time without any problems.",NEGATIVE
This app has wasted my time on 5 different occasions and the attendants telling me that I have to pay inside as this method hasnâ€™t worked since it came out .,NEGATIVE
BP your a load of crap.,NEGATIVE
Why release a useless app thatâ€™s as useful as pig In a dairy farm?,NEGATIVE
"Avoid this like the plague t""",NEGATIVE
Canâ€™t add Allstar fuel card,NEGATIVE
"The app doesnâ€™t allow you to use a fuel card, so for those who use a fuel card to fill up company cars the app isnâ€™t useful. Maybe future updates should look to add this in",NEGATIVE
"Used the app once, all worked perfectly I was so impressed. But every time I have been back since I get an error saying my cards been declined. I have spoken to the bank and they have said that itâ€™s not a problem at their end so must be the app.",NEGATIVE
"When I tried to use this, transaction refused after I pressed the start button. Of course I tried again and again . The result was three fraudulent transactions of Â£100 on my credit card, which, thankfully my bank blocked. I will never use this app again.",NEGATIVE
"Fill your car ,  Try to pay by the app,  Then stand in the queue at the till !!!!   Good job I brought an alternative method of payment.",NEGATIVE
"""So I downloaded and setup this App a fresh with my Monzo card. No real issues, sign up is a bit clunky but itâ€™s a one-time thing so hey.",POSITIVE
,POSITIVE
I used the App for the first time the other day. I chose the â€œfill my tank optionâ€� and straight away saw a Â£100 charge to my Monzo card. Bit odd I thought but figured this was a pre-charge that would get amended once Iâ€™d filled.,NEGATIVE
,POSITIVE
"Instead, however, a day later I was then charged Â£53 pounds! I got straight in touch with Monzo and explained the situation and they (to their credit) refunded me the Â£100 given it was still in a pending state.",NEGATIVE
,POSITIVE
When I enquired with Monzo as to what had happened they explained that BP do one of two things;,NEGATIVE
,POSITIVE
1. Charge Â£100 then amend that amount a day later (whilst itâ€™s still pending),POSITIVE
2. Charge Â£100 then a day later charge the actual amount (in addition) before refunding the Â£100 7 DAYS LATER!,NEGATIVE
,POSITIVE
"Needles to say the latter was my experience. So if youâ€™re fine with being overcharged Â£100 each time you use this App then go for it. However, thatâ€™s scandalous in my books, shame on you BP!""",NEGATIVE
"You have to preauthorise the payment and you have to pay for the amount you filled. The company technically charges customer twice and issue refund which will take 7-10 working days to credit back to your account, leaving people with insufficient fund in bank. Iâ€™ve used esso and Asdaâ€™s pay at the pump and they work absolutely fine. Why would BP release such an app knowing their customers are being charged twice.",NEGATIVE
Not able to use BP fuel card - weird given itâ€™s your own fuel card!??,NEGATIVE
"Canâ€™t add my nectar card. Tried over and over this past few days and all I get is â€˜there has been a technical error, please try again laterâ€™. There is a helpful link at the bottom that says itâ€™s the link to the help line. Nothing happens when you press it. As if itâ€™s drawn on and not a hyperlink at all. Day 3. Iâ€™ve deleted the app",NEGATIVE
Similar to the shell app but does â€œunlockâ€� the pump quicker which is good. Only annoying this is I chose the full tank option which now means although Iâ€™ve only spent Â£34 Iâ€™ve had Â£100 â€œpre authorisedâ€� from my account so will effectively be missing Â£66 from my bank account for the whole weekend until the system tells my bank how much was actually taken....,NEGATIVE
"""Every time I open the app and try to locate the local store, I get ta network not available message check connection. I can assure you that my network is working as it should be. Currently an app that is useless havenâ€™t used once since installation. Shells app works perfectly fine.",NEGATIVE
,POSITIVE
"Screenshot taken if needed""",POSITIVE
"So got the app all set up, payment details set up, Nectar card set up but it all failed in the first attempt.  There I am sitting like a lemon at pump 6 and yet my app says â€œhmmm you donâ€™t seem to be near a petrol stationâ€� ðŸ¤¦ðŸ�»â€�â™€ï¸�   Despite logging out and logging back in again I was still unable to be found (despite having 4G connection) and as the bloke in the Range Rover behind had started up his engine and looked decidedly crabby, I had no option but to grab my bag and pay inside - totally the opposite of what the app intended.  In fact it took longer today than had I not bothered downloading it.  Really disappointed and not sure whether Iâ€™ll risk it again as the angry stares of other customers were too much.  Otherwise the idea is great - just needs to actually work!",NEGATIVE
Pulled up at the pump and selected the number and twice I got an error to suggest technical issues. I gave up and went into the store to pay. Ridiculous and not worth your time setting up.,NEGATIVE
All set up.  Sat on Forecourt.  App says I am 3 miles from the garage.  Totally pointless,NEGATIVE
App loaded and no probs connecting to Nectar. Went to use first time and picked pump 6 at garage with Â£20 selected for amount. App replied saying pump 5 ready for use. Had to reverse and thankfully no one at pump 5 otherwise they would have filled using my Â£20. When filling up the pump only dispatched Â£18.60 of fuel (not the Â£20) even though tank was almost empty before filling up. Garage says it's up to BP to sort it out. Seems to be no garage customer service if you have an issue with App.,NEGATIVE
I want to buy fuel not stocks and shares. Sign up/log in process was so painful I deleted it. Will stick to paying at the kiosk and avoid toad rage,NEGATIVE
"""Iâ€™ve used the app twice so far, at different BP filling stations. Everything worked as expected, and it just makes life that little bit easier, especially when thereâ€™s a long queue.",POSITIVE
,POSITIVE
Iâ€™ve had a few funny looks from people as I just fill up and drive away. Their loss...... ,NEGATIVE
,POSITIVE
"The only minor criticism I have is the loading time. I appreciate the various steps the app has to take before I can fill up, but the time it takes is *just* on the frustrating side. Hopefully this will be refined in future updates.""",POSITIVE
This does not work with a BP fuel card! Why make an app that doesnâ€™t work with your own card service that I can use at the till!,NEGATIVE
"I have tired this app at four different bpâ€™s and not one has worked theres either a error message saying unavailable, no pumps available or just error.",NEGATIVE
"""Selected Â£15 and the pump only filled to Â£14.50 ",NEGATIVE
Yet Â£15 was debited from my bank! ,NEGATIVE
,POSITIVE
"Doesnâ€™t say anywhere in the app that there will be a charge for paying using the app!""",NEGATIVE
"The guy at the till has the power to stop the transaction, then says ""the pumps aren't set up for it, it'll be at least a couple of weeks"". Note this is when the 500 nectar points offer ends.",NEGATIVE
"""Selected Â£30, it filled up Â£29.50 which was fine. Authorised Â£30 to leave my account, which was ok, then very quickly took the Â£29.50 payment on the same day. ",POSITIVE
"Would have been good except a week later the Â£30 payment is still pending, I canâ€™t access that money so have basically paid twice as there is no sign of the Â£30 being released.",NEGATIVE
"Will not use again, I would rather walk into the shop that lose money for unknown amounts of time whenever I get petrol.""",NEGATIVE
"the payment system is really bad. instead of a trip to the till, for 10 days they are blocking both the maximum value specified as well as the actual value. for 10 days I payed 120Â£ for a tank. next time, I'm paying by card at the till.",NEGATIVE
BP ME IS A GREAT APP BUT WOULD BE BETTER IF THEY ADDED PAYPAL LIKE ESSO DID WOUOD MAKE IF MORE CONVENIENT HOPE THEY DO SOON CANT WAIT.,POSITIVE
Sees several on the map. But none when choosing Select your station. And canâ€™t find it when on forecourt! Great idea but useless.,NEGATIVE
This is the third time i have tried to make this app work in a gas station but same tech error it gives. The staff in the station have no clue this app is or what fault it is,NEGATIVE
The problem is I like to fill my fuel tank to itâ€™s max fill.  Should I be expected to keep guessing the amount needed to complete fill my tank up. Hummm howâ€™s this app going to help me.,NEGATIVE
"Decent app. Does what it says. Paying made easy. Only issue is the invoice. You get an email all nicely laid out for expenses, but not as a pdf attachment. Means printing off the email to claim expenses where a pdf can be attached. Old fashioned. Far better and faster to forward and store a pdf. Business users across the board want this. Non business use doesnâ€™t claim.",POSITIVE
"""Pretty straightforward to use but just 2 items:",NEGATIVE
1) it seems to take a very long time to load from opening up the app to being able to add fuel but thatâ€™s not the end of the world,NEGATIVE
"2) having used it 3 times, Iâ€™ve never filled up to the correct amount. The pump seems to stop 50p short of my target amount. Granted, I only get charged the amount I filled (Â£24.50 rather than Â£25) but I canâ€™t understand why it has to stop there...!""",NEGATIVE
"Firstly it fails to work out that youâ€™re actually at a BP garage, and then asks you to select your pump number. St that point it reports s technical error and asks you to pay at the kiosk. Whatâ€™s that point?",NEGATIVE
The app worked great except it pumped Â£14 when the limit I set was Â£15.  Where did the other Â£1 go?,NEGATIVE
"No matter how many attempts to register the Nectar Rewards Card to this app and, after god knows how many password resets, it just wonâ€™t load. Reluctant to use the app for payment as I will only loose the reward benefits. Come on developers, sounds like thereâ€™s a few hitches going on!",NEGATIVE
"The app is useless, when you register the only option is to change the password and not enter the app. For a company like BP to roll this out is frightening.",NEGATIVE
Downloaded the app to my iPhone; registered; verified my email; created my password. Tried to login and just ended up in a cycle of returning me to the login page!! Decided to change my password (just in case the password was causing the problem) but still looping back to the login page after attempting to login!!! What a waste of time.,NEGATIVE
"""Tried to use this app on three occasions now. Each time Iâ€™ve had to log in again? Then payment always fails.",NEGATIVE
"Great idea, but just lets you down.""",NEGATIVE
"""I was really Looking forward to This BP app so I wouldnâ€™t have to go to the shops to pay every single time I come for some fuel (I drive a lot) ",NEGATIVE
First time I put fuel in full. With some reason BP took my Â£100 on hold even I spent only Â£54.49 but thatâ€™s happen. However after 3 days I have been charged mentioned Â£54.49 and Â£100 is still (sic!!) on hold. ,NEGATIVE
I went to put some more fuel and this time I put only Â£20.00 using the app. I was able to put fuel for total of Â£19.50 and guess what. Been charged Â£19.50 with another Â£20 on hold. ,NEGATIVE
"So now I ended up really unhappy, with Â£120 still!!! On hold.",NEGATIVE
I havenâ€™t deleted app only in case I would have to claim my money back from BP. ,NEGATIVE
,POSITIVE
"Iâ€™m never going to use your app again, really unhappy.""",NEGATIVE
"Needs work. Wonâ€™t accept Nectar password. Wonâ€™t change security question. â€œWhoops, something went wrongâ€�",NEGATIVE
Took Â£100 from my account but only about Â£30 in fuel taken. Then it takes 2 weeks before it goes back into your account. Wonâ€™t be using it again.,NEGATIVE
Downloaded app only to find you canâ€™t use it on a bike - because phone should be used inside a car - tell that to all the folks chatting away while refuelling or trying to get the app to work while standing alongside their car.  Ridiculous- would be great help to bikers but we are excluded!,NEGATIVE
"Iâ€™ve tried to use the app twice, I get to the point where you enter pump number and it says â€œweâ€™re experiencing technical difficultiesâ€�. Nice idea, shame it doesnâ€™t work for me",NEGATIVE
"""Iâ€™ve had and used another fuel app for some time but wanted to add the BP app so I had more choice. ",POSITIVE
"I found the BP app more difficult to set up, less forgiving if not correct first time and mostly the BP app does not seem to accept PayPal.""",NEGATIVE
Iâ€™m parked sitting next to pump 3 ??,POSITIVE
"""So having used the Shell app for some time I was excited to try the BP particularly as it links my nectar.",POSITIVE
,POSITIVE
"Massive mistake that has cost me considerably, as others state it takes around 5 mins to load the app which is pointless at the pump, quicker going in.  My costly mistake was selecting the full tank option which freezes your bank account to the value of Â£100 (discretely explained in the QA section online) purchased fuel on the 25th, Â£49 come off 27th and today as I type the Â£100 is still in pending transactions, in essence BP have taken Â£149!!! Several direct debits have now bounced due to lack of funds and no where on the app to get it resolved.",NEGATIVE
,POSITIVE
My advice unless you want Â£100 frozen out your account for a week (explained again in QA) then do not download!! Shell all the way regardless,NEGATIVE
,POSITIVE
"Update 29/4 - Barclays have responded stating BP have placed a hold on the funds for 7 days and they are unable to release them as the transaction is guaranteed with a debit card, BP are blaming the bank and despite their own T&Cs stating the hold will be lifted once the transaction goes through I still have no money""",NEGATIVE
Spent 30 mins setting up the app as thought it was a good idea but it doesnâ€™t save your payment details. Emailed and was told to download a later version but this is the latest version available? Ran out of patience to continue.,NEGATIVE
"Doesnt work, waste of time",NEGATIVE
Perfect clickable app #freepetty,POSITIVE
"I saw the app advertised at my local garage, thought it seemed a good idea, downloaded it and used it - no problems, easy to use. However, even though the moneyâ€™s been correctly taken from my account, a week later BP are still holding Â£100 as a â€œpending transactionâ€� against my debit card.  Reading previous reviews suggests this is a known problem which BP have neither responded to nor fixed. I wonâ€™t be using the app again unless this issue is corrected, which is a shame because everything else about the app works well.",NEGATIVE
Having dispensed Â£41.66 of fuel my bank was debited with both this amount PLUS another Â£100. Two days later it is still in pending transactions and I cannot spend my money. There is no warning of this â€œauthorisationâ€� procedure and is totally unacceptable. This would be really useful for me but I will be deleting the app and going back to petrol stations that do pay at pump without this nonsense.,NEGATIVE
Try this app payment been declined by bank contacted to bank and they say no transaction was made. Try add credit card same problem...,NEGATIVE
used couple of times but fuel stops at 50p less and still charges full amount,NEGATIVE
Why do I get charge twice for single fuel top up?!?!? So basically I needed Â£20 + Â£19.50 on my bank account to put in Â£19.50 worth of fuel. OMG... Iâ€™m still waiting for my money back and will defo not use this app again untill this doesnâ€™t get fixed.,NEGATIVE
I use BP a lot but this is an awful app. It gets stuck on the start screen and does not allow you to add a payment method as something has apparently gone wrong??? I like the speed of paying by app but will have to use Texaco instead.,NEGATIVE
Please add Paypal !,POSITIVE
The app sounds good however with my iPhone 6 it takes so long to load up I would have drivers behind beeping at me if I stayed stationary in the car waiting for it. Iâ€™m not sure how this is an advance from pay at pump technology.,NEGATIVE
Bad long winded registration process and then refused to unlock the pump.   Spent 15 mins late at night trying to get fuel and had to give up.   Wonâ€™t be using BP for a while as a result.,NEGATIVE
Thought it was great to start with until I had nearly Â£200 sat in pending transactions despite the payments for the fuel going out straight away! Had to wait a week for it to go back in! Iâ€™m on a very tight budget and donâ€™t have Â£200 to spare! Really disappointed as the concept is great and I found the app easy to use and quick.,NEGATIVE
"""used this for the first time on 03/05/18 used the FULL TANK option, they â€œAuthoriseâ€� Â£100 from bank account, I filled up, total cost Â£40.52, and 48hrs later thereâ€™s still Â£100 taken from my account!!! Contacted BP Was told weâ€™ve not taken it, itâ€™s just authorised. Thatâ€™s as maybe but Iâ€™m still short of Â£59.48! Called bank was told to contact BP! 100% Not happy. ",NEGATIVE
"ADVISE EVERYONE DO NOT USE THIS APP!""",NEGATIVE
Thought your not supposed to use mobile phones at petrol stations?? They are always telling you to switch them off ðŸ¤�,NEGATIVE
If you choose the option to fill up your tank BP will put a hold on your bank account for Â£100 even if you have only used Â£30 and you wonâ€™t get the balance back for at least 5 days,NEGATIVE
